Section,Entry,Jurisdiction,Sponsor,Core mechanism / description,Thresholds / scope,Status and dates,Source,Confidence,Years with dated events,Permalink
"G.2","Protect Democracy Project v. Office of the National Cyber Director","US","","Directly tests transparency around the executive pre-release review regime described in Section G, but does not challenge a developer mandate","","Status: FOIA suit filed Sept. 1, 2026 against ONCD, Commerce, Treasury, and OSTP, with a preliminary-injunction motion. It seeks the administration's reportedly finalized Aug. 1 voluntary framework for reviewing closed frontier models before release, participating-company information, and the claimed legal authority","Case page and documents — Protect Democracy","HIGH on filing/date/defendants/request (plaintiff's case page and linked pleadings); allegations remain unadjudicated","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-protect-democracy-project-v-office-of-the-national-cyber-director"
"G.2","California DOJ technical-enforcement capacity","US","","The posting establishes technical hiring, but not an SB 53-specific enforcement plan or action","","Status: A California DOJ job posting sought Investigative Technologists to conduct technical investigations and support consumer-protection, privacy, and technology-enforcement matters. No SB 53 enforcement action was located in the Sept. 5 search","Official California job posting · California AG AI legal advisories","HIGH on the hiring record and general AI-enforcement posture; SEARCH-QUALIFIED on no SB 53 action located","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-california-doj-technical-enforcement-capacity"
"G.3","BIS ""Framework for AI Diffusion"" (Biden-era interim final rule)","US","","Would have created a tiered global licensing regime for advanced chips and, for the first time, controls on closed model weights ; open-weight models were exempt","","Date / status: Published Jan 15, 2025; rescinded May 2025 before its compliance date","Federal Register · BIS rescission release","HIGH","2025","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-bis-framework-for-ai-diffusion-biden-era-interim-final-rule"
"G.3","BIS final rule on AI-chip licensing to China/Macau","US","","Provides case-by-case review for certain exports from the United States of chips below specified performance/memory-bandwidth limits—including H200 and MI325X examples—to end users in China or Macau, subject to conditions including independent US testing and aggregate volume limits; reexports/transfers remain under a presumption of denial","","Date / status: Announced Jan. 13, 2026; published and effective Jan. 15, 2026","Final rule — Federal Register public-inspection PDF","HIGH (final rule read directly)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-bis-final-rule-on-ai-chip-licensing-to-china-macau"
"G.3","Chip Security Act (H.R. 3447; Senate companion by Sen. Cotton)","US","","The introduced text requires Commerce standards for location-verification and other chip-security mechanisms for covered advanced integrated circuits, plus reporting of diversion/tampering indications; the committee vote is separately confirmed by an official House release and CBO's reported-bill record","","Date / status: House Foreign Affairs ordered it reported 42–0 on Mar. 26, 2026 ; no later floor action located by cutoff","Introduced text — Congress.gov PDF · Official 42–0 committee-vote release · CBO record of bill as ordered reported","HIGH on introduced provisions and committee status; later-floor-action statement is SEARCH-QUALIFIED","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-chip-security-act-h-r-3447-senate-companion-by-sen-cotton"
"G.3","GAIN AI Act of 2025 (S.3150)","US","","Requires an applicant for a license to export advanced AI chips to a country of concern to certify that US persons have priority in acquiring those chips, subject to the bill's conditions and exceptions","","Date / status: Introduced in the Senate Nov. 6, 2025; referred to Senate Banking. An earlier version of this tracker said ""pending in House,"" which was incorrect","Introduced text — GovInfo PDF · GovInfo metadata/status","HIGH (introduced text and official metadata read)","2025","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-gain-ai-act-of-2025-s-3150"
"G.3","BIS Affiliates Rule","US","","The underlying rule generally extends Entity List/MEU restrictions to unlisted foreign entities owned 50% or more, directly or indirectly, individually or in aggregate, by listed entities, subject to exclusions. A later final rule temporarily removed and prospectively reinstated those provisions","","Date / status: Suspended Nov. 10, 2025 through Nov. 9, 2026 ; scheduled to be reimposed Nov. 10, 2026","Suspension and prospective reimposition — Federal Register public-inspection PDF · Affiliates Rule — Federal Register public-inspection PDF","HIGH (final-rule texts read directly)","2025 2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-bis-affiliates-rule"
"G.3","Documentary lineage of the 10²⁶ threshold","US","","EO 14110 §4.2 used 10²⁶ integer/floating-point operations as a reporting trigger for dual-use foundation models; BIS's Sept. 2024 proposal repeated it. Current state frontier statutes use the same numerical benchmark. EO 14110 was revoked Jan. 20, 2025. This establishes documentary lineage, but not that every legislature copied the EO directly. No final version of BIS-2024-0047 was located before the revocation, so that procedural-status point is search-qualified","","Date / status: Oct. 2023 → present","BIS proposed rule — Federal Register · White House revocation of EO 14110","HIGH on the texts, dates, and shared threshold; SEARCH-QUALIFIED on no final rule located","2023","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-documentary-lineage-of-the-10-threshold"
"H","S.B. 1047 — Safe and Secure Innovation for Frontier AI Models Act","CA","","The enrolled bill required covered developers to implement a written safety and security protocol, retain an annual independent auditor, submit compliance certifications before training/deployment, maintain a full-shutdown capability, and report safety incidents. Those features were dropped from S.B. 53, while the federal FRONTIER Act's emergency-order power and Illinois S.B. 315's audit mandate revive two of them at other levels of government","","Status: Vetoed Sept. 29, 2024","Official bill page, enrolled text, history, and veto message","HIGH (official enrolled text, history, and veto message read)","2024","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-s-b-1047-safe-and-secure-innovation-for-frontier-ai-models-act"
"H","Reconciliation-bill 10-year state-AI-law moratorium (2025) ⟨R⟩","Federal","","Essential legislative history for preemption analysis: the broad moratorium failed overwhelmingly. Any claim that this vote caused later actors to choose narrower routes is interpretation and should be framed as such","","Status: Stripped by a 99–1 Senate vote on July 1, 2025 : Blackburn Amendment No. 2814 to H.R. 1 stated its purpose as striking the section relating to support for artificial intelligence","Official Senate roll call 363 · Senate Commerce Committee account","HIGH (official roll call and committee record)","2025","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-reconciliation-bill-10-year-state-ai-law-moratorium-2025-r"
"H","California ballot initiative A.G. File No. 25-0034, Amendment #1 — ""Oversight of certain frontier AI companies"" ⟨R⟩","CA","","LAO analysis (Jan 20, 2026) read: would create an independent seven-member California AI Safety Commission regulating ""frontier AI companies"" defined by valuation, capital raised, or expenditures plus a commission-set capability threshold (no FLOP number) ; registration; review of protection plans covering workforce displacement, safety, and loss of control; authority to delay capability expansions ; emergency orders; certification of independent evaluators; civil fines up to 20% of California revenue; executives personally liable up to $1M; felony penalties (2–6 years); private enforcement ; funded by registrant fees up to 0.5% of CA revenue. The maximal SB 1047-style design, attempted via direct democracy","","Status: Withdrawn Feb 27, 2026 (confirmed on CA AG inactive-measures page; title and summary had issued Feb 4, 2026; proponent Alexander Oldham). Companion initiative 25-0033 — regulating AI public-benefit corporations and nonprofits — withdrawn the same day","LAO analysis · AG inactive measures","HIGH (LAO analysis and AG status page read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-california-ballot-initiative-a-g-file-no-25-0034-amendment-1-oversight"
"I","S.B. 5 — Connecticut AI Responsibility and Transparency Act (Public Act 26-15; ""An Act Concerning Online Safety"")","CT","","39-section omnibus (AEDT/employment AI incl. WARN-notice AI disclosure, companion chatbots, provenance, social media, regulatory sandbox). Frontier-relevant sections: ""frontier developer"" = doing business in CT + >10²⁶ FLOPs; ""large frontier developer"" = >$500M revenue; frontier developers may not retaliate against employees reporting catastrophic-risk concerns (effective Oct. 1, 2026 ); large frontier developers must operate anonymous internal reporting channels by Jan. 1, 2027 ; penalty up to $1,000 per violation ; plus a DCP-run IVO pilot through June 30, 2030 — see Section C . No developer framework, transparency-report, incident-reporting, or audit mandate","","Status: Passed May 1, 2026 (Senate 32–4, House 131–17); signed May 27, 2026 ; AG-exclusive enforcement under CUTPA, 60-day cure period through 2027","Enacted text — cga.ct.gov · MoFo analysis","HIGH (enacted text read; secondary analysis used as cross-check)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-s-b-5-connecticut-ai-responsibility-and-transparency-act-public-act-26"
"J","PA H.B. 2705","","","Verified not a frontier bill — it commissions an AI-in-the-workforce report from Labor & Industry / DCED (introduced July 16, 2026, 12 Democratic sponsors). One blog lumped it with MA S.3178 as ""frontier-AI and workforce bills""; only the latter half applies. LegiScan","","","","","","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-pa-h-b-2705"
"J","Colorado SB 24-205 → SB 26-189","","","Consequential-decision/ADMT regulation, not compute-threshold developer regulation. Signed May 14, 2026; obligations Jan 1, 2027","","","","","","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-colorado-sb-24-205-sb-26-189"
"J","Texas TRAIGA (HB 149)","","","Prohibited-use-case approach; effective Jan 1, 2026","","","","","","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-texas-traiga-hb-149"
"J","Washington SB 5395","","","Sector-specific (health-insurance AI auditability)","","","","","","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-washington-sb-5395"
"J","Virginia HB 2094 (2025)","","","Colorado-style high-risk ADS bill; vetoed by Gov. Youngkin Mar 24, 2025. Context for VA's later pivot to the IVO-study approach","","","","","","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-virginia-hb-2094-2025"
